RunIndex,TrialIndex,ScenarioID,Category,SubCategory,IsAttack,TrueLabel,PredictedVerdict,Detection,ExpectedLayer,IdentifiedLayer,VerdictCorrect,LayerCorrect,LatencyMicros,ContradictionDetail
1,61,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,62,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,63,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,64,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,65,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,66,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,67,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,68,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,69,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,70,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,71,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,72,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,73,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,74,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,75,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,76,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,77,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,78,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,79,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,80,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,81,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,82,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,83,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,84,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,85,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,86,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,87,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,88,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,89,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,90,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,91,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,92,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,93,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,94,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,95,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,96,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,97,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,98,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
1,99,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,true,ATTACK,REJECTED,DETECTED,PROCESS,PROCESS,true,true,10,Unmonitored detached process execution
